0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.822214,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.467864,0.0141768,-0.0141768
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65977,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.65823,0.82068,-0.00460194,-0.46633,0.0141901,-0.0141901
